shipment_id,order_id,warehouse_id,carrier,ship_date,promised_delivery_days,actual_delivery_days,delivery_status,shipment_cost_usd,weight_kg,distance_km
SHP000024,ORD000024,WH07,XPO Freight,2024-05-22,10.0,10.0,On Time,252.41,150.54,2224
SHP000025,ORD000025,WH04,FedEx,2024-01-04,10.0,8.0,Early,238.14,93.96,4357
SHP000026,ORD000026,WH06,XPO Freight,2024-02-13,7.0,7.0,On Time,283.09,85.89,1507
SHP000027,ORD000027,WH09,UPS,2023-04-27,7.0,7.0,On Time,260.86,29.09,3813
SHP000028,ORD000028,WH06,USPS,2023-05-14,6.0,6.0,On Time,260.98,29.1,795
SHP000029,ORD000029,WH04,Amazon Logistics,2023-02-27,7.0,7.0,On Time,105.47,199.46,4353
SHP000030,ORD000030,WH10,USPS,2024-07-09,4.0,4.0,Cancelled,116.96,18.07,3497
SHP000031,ORD000031,WH02,DHL,2024-11-15,4.0,4.0,On Time,87.64,196.9,3564
SHP000032,ORD000032,WH09,UPS,2024-11-02,7.0,7.0,On Time,100.1,194.3,3838
SHP000033,ORD000033,WH04,DHL,2023-06-22,13.0,12.0,Early,294.82,95.44,4086
SHP000034,ORD000034,WH04,Amazon Logistics,2023-05-29,5.0,5.0,On Time,42.69,1.66,1654
SHP000035,ORD000035,WH02,XPO Freight,2023-03-21,3.0,2.0,Early,203.13,133.14,1308
SHP000036,ORD000036,WH05,XPO Freight,2023-08-01,11.0,11.0,On Time,307.09,95.2,4757
SHP000037,ORD000037,WH06,XPO Freight,2023-07-22,4.0,4.0,On Time,73.14,101.23,3735
SHP000038,ORD000038,WH10,Amazon Logistics,2023-08-17,14.0,,On Time,303.18,151.14,1639
SHP000039,ORD000039,WH06,UPS,2024-11-06,12.0,12.0,On Time,375.84,10.94,3194
SHP000040,ORD000040,WH03,Amazon Logistics,2023-08-15,4.0,4.0,On Time,197.22,186.6,294
SHP000041,ORD000041,WH09,FedEx,2024-10-20,,7.0,On Time,255.17,153.77,1196
SHP000042,ORD000042,WH07,Amazon Logistics,2024-06-15,4.0,,On Time,116.38,27.66,1088
SHP000043,ORD000043,WH03,XPO Freight,2024-03-16,9.0,9.0,On Time,329.95,13.27,2873
SHP000044,ORD000044,WH04,DHL,2024-02-06,,7.0,On Time,259.83,151.92,1380
SHP000045,ORD000045,WH07,UPS,2023-02-16,12.0,12.0,On Time,218.76,117.11,4979
SHP000046,ORD000046,WH08,Amazon Logistics,2023-08-21,3.0,3.0,On Time,179.93,62.59,680
SHP000047,ORD000047,WH06,UPS,2023-11-01,13.0,13.0,On Time,265.09,44.17,2411
SHP000048,ORD000048,WH04,DHL,2024-06-09,4.0,6.0,Late,95.81,48.66,1079
SHP000049,ORD000049,WH02,USPS,2023-05-23,13.0,15.0,Late,261.9,103.43,4149
SHP000050,ORD000050,WH10,Amazon Logistics,2024-02-19,7.0,7.0,On Time,84.27,131.11,3588
SHP000051,ORD000051,WH08,UPS,2024-05-27,4.0,4.0,On Time,202.75,25.49,1455
SHP000052,ORD000052,WH01,Amazon Logistics,2024-01-08,11.0,11.0,On Time,228.25,121.12,3914
SHP000053,ORD000053,WH09,USPS,2024-07-19,6.0,6.0,On Time,133.61,98.42,3861
SHP000054,ORD000054,WH08,DHL,2023-09-16,11.0,11.0,Cancelled,100.21,199.5,2995
SHP000055,ORD000055,WH03,USPS,2024-10-17,13.0,12.0,Early,265.62,182.88,1078
SHP000056,ORD000056,WH10,Amazon Logistics,2024-04-15,14.0,14.0,On Time,196.6,83.96,588
SHP000057,ORD000057,WH04,UPS,2023-01-12,3.0,,On Time,157.54,59.09,2173
SHP000058,ORD000058,WH10,DHL,2023-11-26,,7.0,On Time,184.77,124.19,2821
SHP000059,ORD000059,WH04,XPO Freight,2023-12-24,3.0,3.0,On Time,52.63,132.67,2541
SHP000060,ORD000060,WH02,XPO Freight,2024-02-12,6.0,6.0,On Time,78.02,74.38,1984
SHP000061,ORD000061,WH10,XPO Freight,2024-10-29,11.0,,Early,102.05,103.57,2133
SHP000062,ORD000062,WH05,FedEx,2024-01-08,10.0,10.0,On Time,212.96,120.27,4991
SHP000063,ORD000063,WH03,USPS,2023-01-08,9.0,9.0,On Time,158.63,106.8,3672
SHP000064,ORD000064,WH01,DHL,2023-05-02,3.0,7.0,Late,136.9,88.41,1497
SHP000065,ORD000065,WH02,UPS,2023-12-14,5.0,5.0,On Time,207.82,163.06,54
SHP000066,ORD000066,WH07,UPS,2024-11-06,11.0,11.0,On Time,215.47,35.84,4495
SHP000067,ORD000067,WH01,Amazon Logistics,2023-03-31,11.0,,Late,125.88,141.91,4512
SHP000068,ORD000068,WH02,FedEx,2024-10-09,7.0,7.0,On Time,325.59,172.15,4395
SHP000069,ORD000069,WH10,Amazon Logistics,2024-11-28,,7.0,On Time,145.53,154.82,4116
SHP000070,ORD000070,WH07,XPO Freight,2023-11-12,8.0,12.0,Late,130.6,136.11,4639
SHP000071,ORD000071,WH01,USPS,2023-06-27,13.0,13.0,On Time,347.95,56.71,1567
SHP000072,ORD000072,WH07,UPS,2024-06-23,8.0,8.0,On Time,259.65,19.2,4384
SHP000073,ORD000073,WH08,DHL,2023-02-10,12.0,,On Time,267.94,129.07,4565
SHP000074,ORD000074,WH02,USPS,2024-12-04,6.0,9.0,Late,326.87,98.9,339
SHP000075,ORD000075,WH04,UPS,2024-05-16,3.0,1.0,Early,245.72,43.54,2216
SHP000076,ORD000076,WH07,FedEx,2023-05-25,7.0,7.0,On Time,296.67,42.33,4100
SHP000077,ORD000077,WH01,USPS,2023-07-20,3.0,3.0,On Time,97.16,61.77,1265
SHP000078,ORD000078,WH06,UPS,2024-12-24,,7.0,On Time,216.09,141.83,1649
SHP000079,ORD000079,WH05,DHL,2024-04-05,13.0,20.0,Late,283.92,171.49,3975
SHP000080,ORD000080,WH06,USPS,2024-07-11,7.0,6.0,Early,137.09,101.06,2598
SHP000081,ORD000081,WH08,Amazon Logistics,2024-06-30,7.0,7.0,On Time,325.59,144.26,4794
SHP000082,ORD000082,WH01,USPS,2023-09-10,9.0,18.0,Late,10818.200112205559,50.49,4235
SHP000083,ORD000083,WH03,USPS,2024-01-25,4.0,8.0,Late,338.88,81.16,2841
SHP000084,ORD000084,WH09,USPS,2024-08-16,8.0,8.0,On Time,78.8,152.79,4925
SHP000085,ORD000085,WH08,Amazon Logistics,2023-09-13,4.0,4.0,Cancelled,41.26,105.71,643
SHP000086,ORD000086,WH04,UPS,2024-12-09,12.0,12.0,On Time,107.68,79.22,3038
SHP000087,ORD000087,WH10,UPS,2024-03-25,7.0,4.0,Early,274.88,141.11,2776
SHP000088,ORD000088,WH09,UPS,2023-01-10,6.0,6.0,On Time,191.98,118.14,4794
SHP000089,ORD000089,WH07,UPS,2023-08-30,13.0,13.0,On Time,141.35,154.82,4460
SHP000090,ORD000090,WH02,USPS,2023-09-08,12.0,14.0,Late,321.75,149.75,1175
SHP000091,ORD000091,WH01,DHL,2023-01-05,7.0,7.0,On Time,212.67,75.86,4246
SHP000092,ORD000092,WH01,USPS,2023-04-29,4.0,1.0,Early,198.71,0.8,2796
SHP000093,ORD000093,WH03,UPS,2024-01-09,10.0,10.0,On Time,284.83,187.6,223
SHP000094,ORD000094,WH10,UPS,2023-03-06,10.0,10.0,On Time,198.8,107.06,2331
SHP000095,ORD000095,WH02,Amazon Logistics,2023-05-26,8.0,8.0,On Time,89.04,198.29,4594
SHP000096,ORD000096,WH04,USPS,2023-08-12,5.0,5.0,On Time,287.78,16.93,4485
SHP000097,ORD000097,WH08,UPS,2023-08-27,6.0,6.0,On Time,308.25,151.38,670
SHP000098,ORD000098,WH05,USPS,2023-06-26,3.0,3.0,On Time,107.71,107.85,3458
SHP000099,ORD000099,WH05,XPO Freight,2023-10-09,11.0,11.0,On Time,148.97,9.05,115
SHP000100,ORD000100,WH06,FedEx,2023-03-04,,7.0,On Time,266.91,76.2,4347
SHP000101,ORD000101,WH05,FedEx,2023-08-05,7.0,7.0,On Time,324.99,198.95,1982
SHP000102,ORD000102,WH05,DHL,2024-11-19,10.0,,On Time,273.13,173.02,2439
SHP000103,ORD000103,WH07,DHL,2024-04-05,5.0,5.0,On Time,57.04,193.67,4892
SHP000104,ORD000104,WH06,DHL,2024-09-01,6.0,6.0,On Time,176.37,36.1,221
SHP000105,ORD000105,WH10,XPO Freight,2023-04-15,6.0,6.0,On Time,272.41,173.25,1510
SHP000106,ORD000106,WH02,FedEx,2023-04-09,10.0,10.0,On Time,204.78,144.97,2002
SHP000107,ORD000107,WH01,Amazon Logistics,2024-05-25,14.0,22.0,Late,262.91,96.7,2699
SHP000108,ORD000108,WH01,USPS,2024-01-20,11.0,11.0,On Time,81.99,134.24,3487
SHP000109,ORD000109,WH04,XPO Freight,2024-02-09,5.0,12.0,Late,139.13,135.5,4565
SHP000110,ORD000110,WH02,DHL,2024-06-01,9.0,9.0,Cancelled,283.34,20.32,1293
SHP000111,ORD000111,WH06,USPS,2024-04-20,11.0,8.0,Early,93.6,170.76,2911
SHP000112,ORD000112,WH09,UPS,2024-12-09,4.0,4.0,On Time,322.85,192.62,2857
SHP000113,ORD000113,WH10,UPS,2024-10-06,6.0,6.0,On Time,152.12,177.48,4864
SHP000114,ORD000114,WH10,XPO Freight,2024-03-12,5.0,3.0,Early,83.86,192.43,2900
SHP000115,ORD000115,WH08,DHL,2023-01-23,10.0,10.0,On Time,130.21,143.64,3702
SHP000116,ORD000116,WH04,FedEx,2024-07-18,6.0,6.0,On Time,82.11,3.1,1283
SHP000117,ORD000117,WH02,USPS,2024-11-07,11.0,20.0,Late,206.36,12.48,4921
SHP000118,ORD000118,WH01,XPO Freight,2024-12-14,3.0,3.0,On Time,199.74,181.36,2731
SHP000119,ORD000119,WH07,UPS,2024-04-02,3.0,3.0,On Time,289.62,76.74,1176
SHP000120,ORD000120,WH10,XPO Freight,2023-03-24,6.0,10.0,Late,327.85,90.16,3524
SHP000121,ORD000121,WH03,UPS,2023-05-25,5.0,,On Time,226.44,170.87,4348
SHP000122,ORD000122,WH06,Amazon Logistics,2023-03-26,5.0,5.0,On Time,218.28,144.04,2863
SHP000123,ORD000123,WH05,USPS,2023-03-19,,7.0,On Time,199.47,131.46,455
SHP000124,ORD000124,WH05,Amazon Logistics,2024-04-01,14.0,14.0,On Time,181.2,75.98,3875
SHP000125,ORD000125,WH02,USPS,2023-01-01,,5.0,Early,198.07,191.16,1745
SHP000126,ORD000126,WH09,DHL,2023-02-20,12.0,12.0,On Time,133.21,173.06,2175
SHP000127,ORD000127,WH04,DHL,2024-11-15,12.0,12.0,On Time,131.56,98.86,3536
SHP000128,ORD000128,WH10,XPO Freight,2024-12-17,4.0,4.0,On Time,81.87,119.29,2691
SHP000129,ORD000129,WH01,UPS,2024-03-21,10.0,10.0,On Time,319.98,112.75,582
SHP000130,ORD000130,WH02,USPS,2024-03-24,,13.0,Late,100.06,94.28,2373
SHP000131,ORD000131,WH09,UPS,2024-05-02,10.0,10.0,On Time,294.05,23.28,3927
SHP000132,ORD000132,WH07,DHL,2023-02-03,12.0,12.0,On Time,116.63,194.95,3035
SHP000133,ORD000133,WH10,USPS,2023-12-14,5.0,5.0,On Time,241.06,135.24,3929
SHP000134,ORD000134,WH02,DHL,2023-04-05,4.0,1.0,Early,240.08,153.47,2814
SHP000135,ORD000135,WH07,DHL,2023-03-13,,6.0,Early,74.87,32.23,2990
SHP000136,ORD000136,WH04,FedEx,2024-07-04,7.0,7.0,On Time,257.9,7.39,4029
SHP000137,ORD000137,WH10,XPO Freight,2023-06-03,,,On Time,201.39,143.16,859
SHP000138,ORD000138,WH02,USPS,2023-09-07,8.0,8.0,On Time,268.51,199.72,663
SHP000139,ORD000139,WH04,USPS,2024-11-04,,7.0,On Time,251.53,143.44,546
SHP000140,ORD000140,WH05,Amazon Logistics,2024-03-13,9.0,9.0,On Time,82.34,122.47,4377
SHP000141,ORD000141,WH04,UPS,2023-04-28,9.0,11.0,Late,287.33,16.3,395
SHP000142,ORD000142,WH03,USPS,2023-11-02,13.0,13.0,On Time,331.59,62.61,310
SHP000143,ORD000143,WH06,Amazon Logistics,2023-09-25,11.0,15.0,Late,279.95,4.06,4871
SHP000144,ORD000144,WH01,Amazon Logistics,2023-02-23,8.0,12.0,Late,229.03,80.78,2331
SHP000145,ORD000145,WH08,USPS,2023-08-24,,7.0,On Time,281.87,71.39,1742
SHP000146,ORD000146,WH05,DHL,2024-01-24,,7.0,On Time,280.82,69.55,2317
SHP000147,ORD000147,WH08,UPS,2024-02-05,14.0,23.0,Late,282.93,11.21,1502
SHP000148,ORD000148,WH10,USPS,2024-09-15,12.0,12.0,On Time,196.21,131.83,4775
SHP000149,ORD000149,WH04,XPO Freight,2023-10-30,11.0,11.0,On Time,231.15,183.49,3765
SHP000150,ORD000150,WH04,XPO Freight,2023-07-26,,7.0,On Time,186.68,57.95,4313
SHP000151,ORD000151,WH05,Amazon Logistics,2023-08-17,9.0,9.0,On Time,275.2,18.74,3013
SHP000152,ORD000152,WH05,DHL,2024-07-31,3.0,3.0,On Time,228.1,175.28,3198
SHP000153,ORD000153,WH06,DHL,2023-03-16,6.0,6.0,On Time,191.15,179.48,778
SHP000154,ORD000154,WH05,XPO Freight,2024-03-10,14.0,14.0,On Time,338.97,122.04,1419
SHP000155,ORD000155,WH05,UPS,2023-04-13,,7.0,On Time,331.79,72.38,979
SHP000156,ORD000156,WH08,DHL,2024-02-26,6.0,6.0,On Time,176.63,105.1,3135
SHP000157,ORD000157,WH06,Amazon Logistics,2024-12-04,7.0,7.0,On Time,99.37,151.73,3368
SHP000158,ORD000158,WH02,XPO Freight,2023-11-02,8.0,8.0,On Time,318.41,51.56,1444
SHP000159,ORD000159,WH04,USPS,2023-04-08,,7.0,On Time,301.85,152.78,4999
SHP000160,ORD000160,WH04,UPS,2023-12-01,8.0,8.0,On Time,161.0,60.66,4016
SHP000161,ORD000161,WH05,XPO Freight,2024-03-10,12.0,12.0,On Time,267.01,80.86,1328
SHP000162,ORD000162,WH06,USPS,2024-03-22,9.0,6.0,Early,64.02,53.11,2728
SHP000163,ORD000163,WH05,DHL,2023-11-04,5.0,5.0,On Time,50.54,46.71,4180
SHP000164,ORD000164,WH06,DHL,2023-09-06,11.0,11.0,On Time,71.04,176.87,2645
SHP000165,ORD000165,WH08,XPO Freight,2023-06-15,,7.0,On Time,290.88,74.4,1236
SHP000166,ORD000166,WH04,XPO Freight,2024-04-25,3.0,3.0,On Time,153.9,47.07,692
SHP000167,ORD000167,WH03,USPS,2023-12-01,4.0,4.0,On Time,211.5,31.66,2010
SHP000168,ORD000168,WH09,DHL,2024-06-25,4.0,4.0,On Time,195.09,178.86,1070
SHP000169,ORD000169,WH03,Amazon Logistics,2023-04-16,12.0,12.0,On Time,139.0,170.48,369
SHP000170,ORD000170,WH08,USPS,2024-07-16,11.0,19.0,Late,344.87,157.61,2378
SHP000171,ORD000171,WH10,Amazon Logistics,2023-03-22,14.0,17.0,Late,146.08,43.23,2677
SHP000172,ORD000172,WH05,DHL,2023-05-13,11.0,11.0,On Time,149.96,138.42,2761
SHP000173,ORD000173,WH09,UPS,2023-05-18,11.0,9.0,Early,227.62,91.65,1508
SHP000174,ORD000174,WH03,Amazon Logistics,2023-07-03,,7.0,On Time,289.79,70.67,710
SHP000175,ORD000175,WH10,XPO Freight,2024-02-05,9.0,,On Time,315.55,178.31,4389
SHP000176,ORD000176,WH10,DHL,2023-11-26,14.0,14.0,On Time,242.29,156.61,145
SHP000177,ORD000177,WH08,FedEx,2024-05-22,13.0,13.0,On Time,273.55,144.86,4425
SHP000178,ORD000178,WH07,DHL,2023-03-10,5.0,6.0,Late,271.61,9.78,2991
SHP000179,ORD000179,WH07,Amazon Logistics,2024-06-29,13.0,13.0,On Time,112.73,89.53,4906
SHP000180,ORD000180,WH10,FedEx,2023-02-22,11.0,11.0,On Time,202.3,12.74,2545
SHP000181,ORD000181,WH09,UPS,2024-03-25,10.0,13.0,Late,278.16,157.24,2978
SHP000182,ORD000182,WH08,XPO Freight,2023-07-24,5.0,5.0,On Time,267.41,23.73,2736
SHP000183,ORD000183,WH03,FedEx,2023-05-06,3.0,3.0,On Time,130.09,15.47,2435
SHP000184,ORD000184,WH06,DHL,2023-02-12,11.0,11.0,On Time,273.31,149.92,2646
SHP000185,ORD000185,WH06,DHL,2023-04-21,12.0,12.0,On Time,59.71,178.28,4238
SHP000186,ORD000186,WH05,Amazon Logistics,2024-10-24,3.0,3.0,On Time,294.16,5.3,211
SHP000187,ORD000187,WH03,USPS,2023-07-02,5.0,5.0,On Time,292.61,84.43,2028
SHP000188,ORD000188,WH09,Amazon Logistics,2023-04-05,8.0,8.0,On Time,332.71,120.64,909
SHP000189,ORD000189,WH07,UPS,2024-01-09,8.0,13.0,Late,326.24,89.28,3887
SHP000190,ORD000190,WH04,XPO Freight,2024-06-03,13.0,13.0,On Time,293.83,152.17,3140
SHP000191,ORD000191,WH06,Amazon Logistics,2023-12-26,12.0,12.0,On Time,126.7,1.62,940
SHP000192,ORD000192,WH05,XPO Freight,2024-11-26,6.0,6.0,On Time,223.32,126.4,768
SHP000193,ORD000193,WH01,DHL,2023-10-08,4.0,4.0,On Time,97.91,95.44,2181
SHP000194,ORD000194,WH02,FedEx,2023-07-14,12.0,12.0,On Time,84.16,173.38,4948
SHP000195,ORD000195,WH01,USPS,2023-07-14,8.0,8.0,On Time,79.43,16.52,4912
SHP000196,ORD000196,WH09,USPS,2024-10-28,12.0,12.0,On Time,343.91,32.59,4770
SHP000197,ORD000197,WH09,USPS,2023-04-03,7.0,7.0,On Time,247.77,23.68,2103
SHP000198,ORD000198,WH05,DHL,2024-11-02,8.0,7.0,Early,261.01,60.01,2695
SHP000199,ORD000199,WH08,Amazon Logistics,2023-03-02,9.0,9.0,On Time,188.68,132.72,4590
SHP000200,ORD000200,WH10,DHL,2024-09-25,,4.0,Early,32.07,29.09,4499
SHP000201,ORD000201,WH04,USPS,2023-02-20,11.0,,On Time,139.93,71.57,895
SHP000202,ORD000202,WH01,XPO Freight,2024-02-07,14.0,14.0,On Time,206.93,110.91,1474
SHP000203,ORD000203,WH04,FedEx,2023-01-05,,7.0,On Time,170.76,36.57,3194
SHP000204,ORD000204,WH07,XPO Freight,2024-04-10,9.0,7.0,Early,194.82,170.67,3924
SHP000205,ORD000205,WH02,DHL,2024-08-26,6.0,6.0,On Time,233.46,18.77,2028
SHP000206,ORD000206,WH02,Amazon Logistics,2024-11-12,12.0,12.0,On Time,79.04,40.8,4714
SHP000207,ORD000207,WH06,UPS,2024-06-17,7.0,7.0,On Time,311.17,181.16,1094
SHP000208,ORD000208,WH09,UPS,2024-02-09,8.0,8.0,On Time,223.82,132.87,2738
SHP000209,ORD000209,WH03,UPS,2024-05-27,,12.0,Late,293.88,132.08,4911
SHP000210,ORD000210,WH07,DHL,2024-10-06,,7.0,On Time,199.84,164.27,2238
SHP000211,ORD000211,WH10,UPS,2023-08-21,7.0,7.0,On Time,274.36,112.88,3357
SHP000212,ORD000212,WH09,DHL,2024-06-07,9.0,9.0,On Time,324.71,167.92,3294
SHP000213,ORD000213,WH09,DHL,2023-12-12,4.0,4.0,Cancelled,206.8,180.72,310
SHP000214,ORD000214,WH04,XPO Freight,2023-02-15,5.0,2.0,Early,143.82,196.79,4479
SHP000215,ORD000215,WH02,XPO Freight,2024-06-29,,7.0,On Time,205.08,189.0,137
SHP000216,ORD000216,WH01,UPS,2023-03-19,4.0,4.0,On Time,73.22,142.23,3715
SHP000217,ORD000217,WH06,FedEx,2024-12-30,,7.0,On Time,252.38,29.67,2973
SHP000218,ORD000218,WH05,DHL,2023-03-14,,7.0,On Time,59.93,134.36,3667
SHP000219,ORD000219,WH06,USPS,2023-09-06,14.0,,On Time,175.87,29.03,1819
SHP000220,ORD000220,WH07,USPS,2023-02-16,4.0,4.0,On Time,183.13,55.76,3012
SHP000221,ORD000221,WH09,Amazon Logistics,2023-05-01,5.0,,On Time,151.74,10.74,2068
SHP000222,ORD000222,WH10,XPO Freight,2023-08-02,8.0,8.0,On Time,215.91,83.13,2269
SHP000223,ORD000223,WH10,DHL,2023-08-27,,7.0,On Time,118.01,150.71,3851
SHP000224,ORD000224,WH06,UPS,2023-02-25,,9.0,Late,68.94,36.48,362
SHP000225,ORD000225,WH06,Amazon Logistics,2023-12-16,7.0,7.0,On Time,157.82,39.17,3511
SHP000226,ORD000226,WH03,Amazon Logistics,2023-04-17,,6.0,Early,304.81,130.06,3732
SHP000227,ORD000227,WH08,FedEx,2023-02-17,4.0,4.0,On Time,94.53,55.01,1795
SHP000228,ORD000228,WH09,FedEx,2024-07-26,,7.0,On Time,119.08,86.24,3790
SHP000229,ORD000229,WH01,FedEx,2023-12-03,3.0,7.0,Late,320.86,57.72,1626
SHP000230,ORD000230,WH06,DHL,2023-01-26,5.0,5.0,On Time,107.35,83.94,4876
SHP000231,ORD000231,WH07,Amazon Logistics,2023-09-14,,7.0,On Time,162.36,65.59,2820
SHP000232,ORD000232,WH08,DHL,2023-01-08,14.0,14.0,On Time,155.36,186.55,3651
SHP000233,ORD000233,WH10,FedEx,2024-09-16,13.0,13.0,On Time,64.44,86.31,1742
SHP000234,ORD000234,WH08,XPO Freight,2023-09-10,,,On Time,225.52,189.58,4518
SHP000235,ORD000235,WH07,FedEx,2024-11-22,13.0,13.0,On Time,129.48,87.93,1424
SHP000236,ORD000236,WH08,USPS,2024-12-19,7.0,7.0,On Time,221.35,38.46,516
SHP000237,ORD000237,WH09,FedEx,2023-10-30,9.0,9.0,On Time,193.54,188.57,2592
SHP000238,ORD000238,WH10,FedEx,2024-09-30,11.0,11.0,On Time,102.77,63.4,4824
SHP000239,ORD000239,WH07,USPS,2023-02-25,8.0,8.0,On Time,173.9,87.92,4106
SHP000240,ORD000240,WH03,DHL,2024-12-26,4.0,9.0,Late,146.2,47.0,2481
SHP000241,ORD000241,WH09,UPS,2024-06-09,3.0,3.0,On Time,268.19,143.27,3604
SHP000242,ORD000242,WH01,XPO Freight,2024-04-18,3.0,3.0,On Time,100.34,174.69,2924
SHP000243,ORD000243,WH08,DHL,2023-01-28,12.0,11.0,Early,288.2,19.17,1641
SHP000244,ORD000244,WH06,FedEx,2023-03-19,11.0,11.0,On Time,250.68,52.84,2467
SHP000245,ORD000245,WH03,XPO Freight,2023-08-04,8.0,8.0,On Time,92.69,188.04,4716
SHP000246,ORD000246,WH09,DHL,2024-01-21,8.0,8.0,On Time,229.83,101.06,2304
SHP000247,ORD000247,WH06,Amazon Logistics,2023-12-31,6.0,4.0,Early,281.25,184.33,4408
SHP000248,ORD000248,WH07,Amazon Logistics,2024-10-27,14.0,14.0,On Time,125.28,129.71,3453
SHP000249,ORD000249,WH02,DHL,2024-06-09,4.0,4.0,On Time,212.75,173.46,2093
SHP000250,ORD000250,WH01,UPS,2024-11-29,,7.0,On Time,105.2,137.48,1541
SHP000251,ORD000251,WH01,Amazon Logistics,2023-11-08,5.0,5.0,On Time,115.54,18.21,2411
SHP000252,ORD000252,WH03,Amazon Logistics,2023-01-07,5.0,5.0,On Time,219.22,145.01,4343
SHP000253,ORD000253,WH03,FedEx,2023-01-03,10.0,10.0,On Time,268.79,79.2,1809
SHP000254,ORD000254,WH08,FedEx,2024-09-14,8.0,8.0,On Time,232.88,17.35,4304
SHP000255,ORD000255,WH07,UPS,2023-12-29,,7.0,On Time,201.02,165.65,2883
SHP000256,ORD000256,WH10,UPS,2024-05-22,,7.0,On Time,273.85,192.26,2676
SHP000257,ORD000257,WH08,UPS,2023-10-01,3.0,3.0,On Time,220.31,144.83,2058
SHP000258,ORD000258,WH01,XPO Freight,2024-05-20,,5.0,Early,98.8,18.85,1244
SHP000259,ORD000259,WH04,Amazon Logistics,2023-01-15,11.0,10.0,Early,94.37,67.59,4110
SHP000260,ORD000260,WH08,XPO Freight,2023-07-11,7.0,7.0,On Time,67.71,73.43,4139
SHP000261,ORD000261,WH10,UPS,2024-09-22,6.0,6.0,Cancelled,64.99,175.48,2525
SHP000262,ORD000262,WH02,Amazon Logistics,2024-04-29,3.0,3.0,On Time,65.58,119.36,566
SHP000263,ORD000263,WH07,DHL,2023-01-28,11.0,11.0,On Time,180.67,39.41,3502
SHP000264,ORD000264,WH08,FedEx,2024-12-14,13.0,13.0,On Time,51.24,11.08,543
SHP000265,ORD000265,WH09,UPS,2023-02-08,11.0,8.0,Early,173.42,92.36,4773
SHP000266,ORD000266,WH07,Amazon Logistics,2023-09-30,6.0,4.0,Early,261.01,113.02,4874
SHP000267,ORD000267,WH09,UPS,2023-08-19,11.0,11.0,On Time,105.89,149.52,1451
SHP000268,ORD000268,WH02,XPO Freight,2023-03-27,,7.0,On Time,283.99,153.28,1527
SHP000269,ORD000269,WH01,DHL,2024-04-18,,,On Time,85.8,23.26,4350
SHP000270,ORD000270,WH01,USPS,2023-05-06,7.0,7.0,On Time,135.77,170.14,2985
SHP000271,ORD000271,WH04,XPO Freight,2024-06-20,3.0,5.0,Late,109.07,39.67,2695
SHP000272,ORD000272,WH01,USPS,2023-05-25,6.0,6.0,On Time,139.69,104.37,4500
SHP000273,ORD000273,WH07,UPS,2024-06-08,14.0,14.0,On Time,230.55,8.0,4728
