order_id,order_date,promised_delivery_days,warehouse_id,product_id,quantity_ordered,order_priority,customer_region,sales_channel
ORD000105,2023-04-15,6.0,WH10,PROD0001,122,Medium,West,B2B
ORD000106,2023-04-09,10.0,WH02,PROD0094,164,High,South,B2B
ORD000107,2024-05-25,14.0,WH01,PROD0027,116,Medium,East,B2B
ORD000108,2024-01-20,11.0,WH01,PROD0052,13,Low,South,Online
ORD000109,2024-02-09,5.0,WH04,PROD0002,451,High,East,Online
ORD000110,2024-06-01,9.0,WH02,PROD0021,20,Low,Midwest,Online
ORD000111,2024-04-20,11.0,WH06,PROD0009,201,Medium,East,Online
ORD000112,2024-12-09,4.0,WH09,PROD0088,309,Low,Midwest,B2B
ORD000113,2024-10-06,6.0,WH10,PROD0048,254,Critical,East,B2B
ORD000114,2024-03-12,5.0,WH10,PROD0039,86,High,South,Online
ORD000115,2023-01-23,10.0,WH08,PROD0042,180,Medium,West,B2B
ORD000116,2024-07-18,6.0,WH04,PROD0071,237,Medium,West,Online
ORD000117,2024-11-07,11.0,WH02,PROD0094,353,Medium,West,Online
ORD000118,2024-12-14,3.0,WH01,PROD0045,61,Low,Midwest,B2B
ORD000119,2024-04-02,3.0,WH07,PROD0002,215,High,West,B2B
ORD000120,2023-03-24,6.0,WH10,PROD0076,381,Medium,South,B2B
ORD000121,2023-05-25,5.0,WH03,PROD0077,215,Medium,South,B2B
ORD000122,2023-03-26,5.0,WH06,PROD0067,358,Low,East,Online
ORD000123,2023-03-19,,WH05,PROD0043,372,Low,West,Online
ORD000124,2024-04-01,14.0,WH05,PROD0018,90,Medium,South,B2B
ORD000125,2023-01-01,,WH02,PROD0039,96,Medium,West,Online
ORD000126,2023-02-20,12.0,WH09,PROD0006,61,Low,East,B2B
ORD000127,2024-11-15,12.0,WH04,PROD0042,56,Low,Midwest,Online
ORD000128,2024-12-17,4.0,WH10,PROD0052,220,Medium,South,B2B
ORD000129,2024-03-21,10.0,WH01,PROD0027,94,Low,South,B2B
ORD000130,2024-03-24,,WH02,PROD0079,40,Medium,West,B2B
ORD000131,2024-05-02,10.0,WH09,PROD0015,337,Medium,Midwest,B2B
ORD000132,2023-02-03,12.0,WH07,PROD0019,319,Medium,South,Online
ORD000133,2023-12-14,5.0,WH10,PROD0062,441,High,Midwest,Online
ORD000134,2023-04-05,4.0,WH02,PROD0064,248,Low,West,Retail
ORD000135,2023-03-13,,WH07,PROD0051,466,High,East,B2B
ORD000136,2024-07-04,7.0,WH04,PROD0047,217,High,South,B2B
ORD000137,2023-06-03,,WH10,PROD0057,388,Medium,Midwest,Online
ORD000138,2023-09-07,8.0,WH02,PROD0020,154,Critical,East,B2B
ORD000139,2024-11-04,,WH04,PROD0020,351,High,Midwest,Online
ORD000140,2024-03-13,9.0,WH05,PROD0082,62,Critical,West,B2B
ORD000141,2023-04-28,9.0,WH04,PROD0064,460,Medium,East,Online
ORD000142,2023-11-02,13.0,WH03,PROD0098,438,Medium,South,Online
ORD000143,2023-09-25,11.0,WH06,PROD0099,240,Medium,South,Online
ORD000144,2023-02-23,8.0,WH01,PROD0038,190,Low,East,B2B
ORD000145,2023-08-24,,WH08,PROD0038,146,Critical,Midwest,Retail
ORD000146,2024-01-24,,WH05,PROD0065,10,Medium,East,Online
ORD000147,2024-02-05,14.0,WH08,PROD0076,292,Medium,West,Online
ORD000148,2024-09-15,12.0,WH10,PROD0005,130,Critical,South,B2B
ORD000149,2023-10-30,11.0,WH04,PROD0064,60,Critical,East,B2B
ORD000150,2023-07-26,,WH04,PROD0027,473,Low,South,Retail
ORD000151,2023-08-17,9.0,WH05,PROD0020,175,High,East,Online
ORD000152,2024-07-31,3.0,WH05,PROD0060,73,Medium,Midwest,B2B
ORD000153,2023-03-16,6.0,WH06,PROD0040,239,Medium,South,Online
ORD000154,2024-03-10,14.0,WH05,PROD0083,416,Critical,East,Online
ORD000155,2023-04-13,,WH05,PROD0079,453,High,East,Online
ORD000156,2024-02-26,6.0,WH08,PROD0006,179,Medium,West,Retail
ORD000157,2024-12-04,7.0,WH06,PROD0073,67,Medium,South,B2B
ORD000158,2023-11-02,8.0,WH02,PROD0036,81,Medium,East,Online
ORD000159,2023-04-08,,WH04,PROD0087,77,Medium,West,Retail
ORD000160,2023-12-01,8.0,WH04,PROD0074,248,Low,East,Online
ORD000161,2024-03-10,12.0,WH05,PROD0065,195,Medium,South,Online
ORD000162,2024-03-22,9.0,WH06,PROD0011,476,Low,East,B2B
ORD000163,2023-11-04,5.0,WH05,PROD0049,68,Medium,South,Retail
ORD000164,2023-09-06,11.0,WH06,PROD0084,338,High,South,B2B
ORD000165,2023-06-15,,WH08,PROD0028,56,Low,West,B2B
ORD000166,2024-04-25,3.0,WH04,PROD0022,99,High,East,Retail
ORD000167,2023-12-01,4.0,WH03,PROD0084,270,Low,South,Online
ORD000168,2024-06-25,4.0,WH09,PROD0047,400,Medium,East,Online
ORD000169,2023-04-16,12.0,WH03,PROD0080,76,Medium,Midwest,Online
ORD000170,2024-07-16,11.0,WH08,PROD0066,331,High,Midwest,B2B
ORD000171,2023-03-22,14.0,WH10,PROD0025,66,High,East,B2B
ORD000172,2023-05-13,11.0,WH05,PROD0091,33,Medium,West,Online
ORD000173,2023-05-18,11.0,WH09,PROD0067,269,Low,Midwest,B2B
ORD000174,2023-07-03,,WH03,PROD0087,30,Medium,South,B2B
ORD000175,2024-02-05,9.0,WH10,PROD0032,26,Medium,East,B2B
ORD000176,2023-11-26,14.0,WH10,PROD0017,370,Medium,South,B2B
ORD000177,2024-05-22,13.0,WH08,PROD0040,210,Low,South,Online
ORD000178,2023-03-10,5.0,WH07,PROD0084,269,Low,Midwest,B2B
ORD000179,2024-06-29,13.0,WH07,PROD0030,324,Low,South,Online
ORD000180,2023-02-22,11.0,WH10,PROD0059,123,Medium,East,B2B
ORD000181,2024-03-25,10.0,WH09,PROD0028,33,Medium,West,B2B
ORD000182,2023-07-24,5.0,WH08,PROD0047,143,Medium,Midwest,B2B
ORD000183,2023-05-06,3.0,WH03,PROD0023,145,Medium,Midwest,Online
ORD000184,2023-02-12,11.0,WH06,PROD0083,262,Critical,East,B2B
ORD000185,2023-04-21,12.0,WH06,PROD0057,5,Medium,West,B2B
ORD000186,2024-10-24,3.0,WH05,PROD0089,161,Medium,West,B2B
ORD000187,2023-07-02,5.0,WH03,PROD0088,310,Low,South,Retail
ORD000188,2023-04-05,8.0,WH09,PROD0001,144,Medium,West,Online
ORD000189,2024-01-09,8.0,WH07,PROD0092,430,Medium,East,Online
ORD000190,2024-06-03,13.0,WH04,PROD0029,152,Medium,West,B2B
ORD000191,2023-12-26,12.0,WH06,PROD0050,381,High,West,B2B
ORD000192,2024-11-26,6.0,WH05,PROD0064,5,High,South,Online
ORD000193,2023-10-08,4.0,WH01,PROD0099,195,High,South,Online
ORD000194,2023-07-14,12.0,WH02,PROD0081,483,Low,East,B2B
ORD000195,2023-07-14,8.0,WH01,PROD0075,125,Medium,West,B2B
ORD000196,2024-10-28,12.0,WH09,PROD0037,475,Medium,West,Online
ORD000197,2023-04-03,7.0,WH09,PROD0061,76,Medium,Midwest,Retail
ORD000198,2024-11-02,8.0,WH05,PROD0007,306,Medium,West,B2B
ORD000199,2023-03-02,9.0,WH08,PROD0090,169,High,Midwest,B2B
ORD000200,2024-09-25,,WH10,PROD0087,217,Medium,South,Retail
ORD000201,2023-02-20,11.0,WH04,PROD0064,183,Low,South,Online
ORD000202,2024-02-07,14.0,WH01,PROD0018,337,Low,South,B2B
ORD000203,2023-01-05,,WH04,PROD0029,113,Low,Midwest,B2B
ORD000204,2024-04-10,9.0,WH07,PROD0098,276,Low,Midwest,Online
ORD000205,2024-08-26,6.0,WH02,PROD0060,476,Low,Midwest,B2B
ORD000206,2024-11-12,12.0,WH02,PROD0054,178,Low,West,Retail
ORD000207,2024-06-17,7.0,WH06,PROD0072,125,High,South,Online
ORD000208,2024-02-09,8.0,WH09,PROD0021,291,Medium,Midwest,Online
ORD000209,2024-05-27,,WH03,PROD0021,434,Low,South,Online
ORD000210,2024-10-06,,WH07,PROD0058,463,Medium,Midwest,B2B
ORD000211,2023-08-21,7.0,WH10,PROD0049,417,Critical,Midwest,Online
ORD000212,2024-06-07,9.0,WH09,PROD0036,323,Medium,South,Online
ORD000213,2023-12-12,4.0,WH09,PROD0017,199,Critical,West,Retail
ORD000214,2023-02-15,5.0,WH04,PROD0080,138,Medium,East,B2B
ORD000215,2024-06-29,,WH02,PROD0053,489,Critical,Midwest,Online
ORD000216,2023-03-19,4.0,WH01,PROD0015,218,Low,South,Retail
ORD000217,2024-12-30,,WH06,PROD0079,297,Low,South,B2B
ORD000218,2023-03-14,,WH05,PROD0040,168,Medium,Midwest,Online
ORD000219,2023-09-06,14.0,WH06,PROD0081,134,Critical,South,B2B
ORD000220,2023-02-16,4.0,WH07,PROD0051,161,High,East,B2B
ORD000221,2023-05-01,5.0,WH09,PROD0065,272,Medium,West,B2B
ORD000222,2023-08-02,8.0,WH10,PROD0013,280,Low,Midwest,Online
ORD000223,2023-08-27,,WH10,PROD0038,248,Medium,South,Online
ORD000224,2023-02-25,,WH06,PROD0074,222,Low,South,Online
ORD000225,2023-12-16,7.0,WH06,PROD0097,316,Medium,South,Online
ORD000226,2023-04-17,,WH03,PROD0026,377,Low,West,B2B
ORD000227,2023-02-17,4.0,WH08,PROD0076,330,Medium,South,B2B
ORD000228,2024-07-26,,WH09,PROD0083,395,High,Midwest,Online
ORD000229,2023-12-03,3.0,WH01,PROD0015,172,Low,West,Retail
ORD000230,2023-01-26,5.0,WH06,PROD0005,470,Medium,West,B2B
ORD000231,2023-09-14,,WH07,PROD0002,259,Low,Midwest,B2B
ORD000232,2023-01-08,14.0,WH08,PROD0078,422,Low,South,Retail
ORD000233,2024-09-16,13.0,WH10,PROD0093,256,Medium,Midwest,Retail
ORD000234,2023-09-10,,WH08,PROD0065,168,Low,West,Online
ORD000235,2024-11-22,13.0,WH07,PROD0077,471,Critical,South,B2B
ORD000236,2024-12-19,7.0,WH08,PROD0060,493,Medium,Midwest,B2B
ORD000237,2023-10-30,9.0,WH09,PROD0096,120,Low,East,Online
ORD000238,2024-09-30,11.0,WH10,PROD0098,19,Medium,West,Online
ORD000239,2023-02-25,8.0,WH07,PROD0056,296,Low,South,Online
ORD000240,2024-12-26,4.0,WH03,PROD0078,309,Low,East,Online
ORD000241,2024-06-09,3.0,WH09,PROD0038,247,Low,Midwest,Retail
ORD000242,2024-04-18,3.0,WH01,PROD0057,205,Low,South,B2B
ORD000243,2023-01-28,12.0,WH08,PROD0051,420,High,South,Online
ORD000244,2023-03-19,11.0,WH06,PROD0041,67,High,East,B2B
ORD000245,2023-08-04,8.0,WH03,PROD0079,342,Medium,East,Online
ORD000246,2024-01-21,8.0,WH09,PROD0070,345,Medium,West,Online
ORD000247,2023-12-31,6.0,WH06,PROD0093,404,Medium,East,Online
ORD000248,2024-10-27,14.0,WH07,PROD0083,412,Low,South,Online
ORD000249,2024-06-09,4.0,WH02,PROD0052,185,Medium,South,Online
ORD000250,2024-11-29,,WH01,PROD0001,387,Medium,Midwest,B2B
ORD000251,2023-11-08,5.0,WH01,PROD0085,342,Low,West,Online
ORD000252,2023-01-07,5.0,WH03,PROD0018,108,Medium,Midwest,B2B
ORD000253,2023-01-03,10.0,WH03,PROD0027,165,High,South,Online
ORD000254,2024-09-14,8.0,WH08,PROD0092,121,High,Midwest,B2B
ORD000255,2023-12-29,,WH07,PROD0072,486,Low,East,Retail
ORD000256,2024-05-22,,WH10,PROD0095,402,Low,Midwest,Online
ORD000257,2023-10-01,3.0,WH08,PROD0076,84,Low,South,B2B
ORD000258,2024-05-20,,WH01,PROD0042,302,Critical,East,B2B
ORD000259,2023-01-15,11.0,WH04,PROD0006,261,High,South,Online
ORD000260,2023-07-11,7.0,WH08,PROD0090,107,High,West,Online
ORD000261,2024-09-22,6.0,WH10,PROD0080,123,Medium,West,B2B
ORD000262,2024-04-29,3.0,WH02,PROD0094,73,Medium,East,Online
ORD000263,2023-01-28,11.0,WH07,PROD0083,477,Low,West,Online
ORD000264,2024-12-14,13.0,WH08,PROD0082,337,High,West,B2B
ORD000265,2023-02-08,11.0,WH09,PROD0024,460,High,West,Retail
ORD000266,2023-09-30,6.0,WH07,PROD0045,313,Medium,West,Online
ORD000267,2023-08-19,11.0,WH09,PROD0084,154,Medium,South,B2B
ORD000268,2023-03-27,,WH02,PROD0071,289,High,East,Retail
ORD000269,2024-04-18,,WH01,PROD0007,97,Low,East,Online
ORD000270,2023-05-06,7.0,WH01,PROD0016,292,High,South,B2B
ORD000271,2024-06-20,3.0,WH04,PROD0058,349,Medium,Midwest,Online
ORD000272,2023-05-25,6.0,WH01,PROD0057,278,Medium,Midwest,B2B
ORD000273,2024-06-08,14.0,WH07,PROD0042,254,Medium,West,Online
ORD000274,2023-07-31,7.0,WH08,PROD0014,82,Medium,East,Online
ORD000275,2023-01-25,13.0,WH03,PROD0056,17,Low,East,B2B
ORD000276,2024-08-02,5.0,WH01,PROD0012,300,Critical,East,B2B
ORD000277,2024-01-29,4.0,WH03,PROD0093,180,Critical,Midwest,Online
ORD000278,2023-03-08,8.0,WH02,PROD0015,216,Medium,West,B2B
ORD000279,2023-08-21,13.0,WH06,PROD0008,22,Medium,East,Retail
ORD000280,2023-04-19,5.0,WH07,PROD0058,236,Medium,Midwest,Retail
ORD000281,2023-05-26,12.0,WH09,PROD0053,453,Medium,South,B2B
ORD000282,2023-04-21,3.0,WH05,PROD0009,385,Critical,East,Retail
ORD000283,2023-08-16,13.0,WH04,PROD0046,211,Low,South,Retail
ORD000284,2023-04-21,7.0,WH01,PROD0092,286,Low,East,B2B
ORD000285,2024-04-14,4.0,WH06,PROD0091,423,Critical,Midwest,Retail
ORD000286,2023-02-03,4.0,WH08,PROD0007,207,Low,Midwest,B2B
ORD000287,2024-09-14,6.0,WH04,PROD0044,494,High,East,B2B
ORD000288,2024-01-04,6.0,WH01,PROD0014,419,Low,West,B2B
ORD000289,2024-08-17,6.0,WH05,PROD0075,325,Critical,West,Online
ORD000290,2024-07-07,9.0,WH10,PROD0096,255,High,Midwest,Online
ORD000291,2024-02-29,3.0,WH05,PROD0092,454,Critical,South,B2B
ORD000292,2024-09-04,10.0,WH02,PROD0006,345,Critical,South,B2B
ORD000293,2024-06-01,14.0,WH06,PROD0035,11,Low,East,B2B
ORD000294,2024-11-22,12.0,WH10,PROD0070,307,Medium,South,Retail
ORD000295,2023-10-09,11.0,WH09,PROD0061,319,Medium,South,B2B
ORD000296,2023-11-16,12.0,WH06,PROD0024,342,High,South,Online
ORD000297,2024-03-18,8.0,WH08,PROD0073,379,Low,Midwest,B2B
ORD000298,2023-11-11,6.0,WH10,PROD0002,34,Critical,East,Online
ORD000299,2024-01-12,8.0,WH03,PROD0078,121,Low,East,B2B
ORD000300,2023-10-16,12.0,WH10,PROD0051,236,High,East,B2B
ORD000301,2024-03-12,9.0,WH02,PROD0031,183,Medium,Midwest,B2B
ORD000302,2024-10-23,8.0,WH04,PROD0094,78,Medium,Midwest,Online
ORD000303,2023-10-04,13.0,WH09,PROD0027,123,Medium,Midwest,Online
ORD000304,2024-12-10,,WH09,PROD0100,457,Low,Midwest,Online
ORD000305,2024-08-04,7.0,WH03,PROD0031,276,Medium,West,B2B
ORD000306,2024-05-17,10.0,WH01,PROD0070,208,Medium,South,B2B
ORD000307,2024-09-15,10.0,WH01,PROD0043,186,Medium,East,B2B
ORD000308,2024-05-30,14.0,WH04,PROD0082,465,High,Midwest,Online
ORD000309,2023-12-16,12.0,WH04,PROD0052,17,Medium,East,B2B
ORD000310,2024-03-21,11.0,WH10,PROD0014,290,Medium,West,Retail
ORD000311,2023-12-16,6.0,WH06,PROD0059,490,Critical,Midwest,Online
ORD000312,2024-08-29,12.0,WH05,PROD0020,254,High,West,B2B
ORD000313,2024-10-25,8.0,WH06,PROD0052,459,Low,Midwest,Online
ORD000314,2023-05-17,9.0,WH10,PROD0075,99,High,East,B2B
ORD000315,2023-08-31,7.0,WH07,PROD0040,446,Critical,South,B2B
ORD000316,2024-06-26,13.0,WH07,PROD0068,418,Critical,West,B2B
ORD000317,2023-02-09,10.0,WH10,PROD0044,484,High,South,Online
ORD000318,2023-08-17,5.0,WH10,PROD0006,456,Medium,West,Retail
ORD000319,2024-07-01,10.0,WH09,PROD0087,147,Low,Midwest,Online
ORD000320,2023-08-11,7.0,WH06,PROD0057,372,Medium,South,Retail
ORD000321,2023-01-06,3.0,WH08,PROD0058,114,Medium,East,Online
ORD000322,2023-11-18,8.0,WH02,PROD0072,97,Low,East,Online
ORD000323,2024-04-12,4.0,WH08,PROD0030,382,Low,South,B2B
ORD000324,2023-03-16,9.0,WH09,PROD0100,376,Medium,East,Retail
ORD000325,2023-01-04,11.0,WH04,PROD0052,471,Medium,East,B2B
ORD000326,2024-10-07,5.0,WH05,PROD0011,322,Low,Midwest,Online
ORD000327,2023-04-28,,WH05,PROD0047,328,Medium,South,Retail
ORD000328,2024-08-28,6.0,WH02,PROD0005,349,High,South,B2B
ORD000329,2024-05-18,6.0,WH05,PROD0003,170,Low,West,Online
ORD000330,2024-07-27,6.0,WH09,PROD0015,307,Critical,Midwest,B2B
ORD000331,2024-03-16,5.0,WH04,PROD0002,199,Medium,East,B2B
ORD000332,2023-07-13,7.0,WH10,PROD0002,177,Low,West,B2B
ORD000333,2024-12-15,11.0,WH03,PROD0072,124,Low,South,B2B
ORD000334,2024-01-27,13.0,WH07,PROD0054,157,Medium,West,Retail
ORD000335,2023-01-26,10.0,WH08,PROD0046,95,Low,South,B2B
ORD000336,2024-03-10,12.0,WH10,PROD0094,286,High,East,B2B
ORD000337,2023-06-22,4.0,WH06,PROD0041,99,High,Midwest,Online
ORD000338,2023-10-27,14.0,WH06,PROD0069,409,High,Midwest,B2B
ORD000339,2024-10-06,,WH05,PROD0030,367,Medium,East,Retail
ORD000340,2023-11-22,14.0,WH06,PROD0044,452,Medium,West,Online
ORD000341,2024-02-14,,WH09,PROD0010,369,Low,West,B2B
ORD000342,2023-04-28,4.0,WH02,PROD0097,235,Medium,Midwest,B2B
ORD000343,2024-12-24,9.0,WH10,PROD0088,190,Medium,West,B2B
ORD000344,2023-08-13,7.0,WH03,PROD0083,294,Medium,East,Retail
ORD000345,2024-06-15,9.0,WH01,PROD0030,273,Critical,South,B2B
ORD000346,2023-04-23,7.0,WH04,PROD0089,330,Medium,West,B2B
ORD000347,2023-05-20,14.0,WH02,PROD0075,385,High,Midwest,Online
ORD000348,2024-07-12,8.0,WH06,PROD0049,18,Medium,Midwest,Retail
ORD000349,2023-01-01,10.0,WH01,PROD0035,447,Medium,East,Online
ORD000350,2023-03-31,3.0,WH08,PROD0065,174,High,Midwest,Retail
ORD000351,2024-10-15,,WH10,PROD0017,403,Low,East,Online
ORD000352,2023-11-16,14.0,WH06,PROD0031,381,Medium,West,Online
ORD000353,2024-07-03,3.0,WH09,PROD0070,306,Medium,West,B2B
ORD000354,2023-05-19,7.0,WH06,PROD0077,120,Low,West,B2B
ORD000355,2024-05-25,3.0,WH10,PROD0052,256,Medium,East,B2B
ORD000356,2023-09-16,,WH07,PROD0026,96,Medium,Midwest,Online
ORD000357,2024-11-03,12.0,WH05,PROD0100,310,Low,East,B2B
ORD000358,2024-11-20,,WH08,PROD0005,31,High,West,Retail
ORD000359,2023-01-10,9.0,WH08,PROD0014,97,Medium,West,Retail
ORD000360,2023-09-18,14.0,WH10,PROD0051,470,Medium,West,Online
ORD000361,2024-10-11,8.0,WH09,PROD0015,193,Medium,West,B2B
ORD000362,2023-06-21,10.0,WH06,PROD0012,233,High,West,B2B
ORD000363,2023-01-13,,WH01,PROD0046,46,Low,East,B2B
